# x-coord    y-coord   Kmeans_labels  Kplus_labels 
   15.55     15.55           1           1
   14.90     14.90           3           3
   14.45     14.45           3           3
   14.15     14.15           3           3
   13.75     13.75           3           3
   13.35     13.35           3           3
   13.00     13.00           3           3
   13.45     13.45           3           3
   13.60     13.60           3           3
   12.80     12.80           3           3
   12.40     12.40           3           3
   12.30     12.30           3           3
   12.20     12.20           3           3
   13.40     13.40           3           3
   12.95     12.95           3           3
   12.90     12.90           3           3
   11.85     11.85           3           3
   11.35     11.35           3           3
   11.15     11.15           3           3
   11.25     11.25           3           3
   10.75     10.75           3           3
   10.50     10.50           3           3
    9.65      9.65           3           3
   10.25     10.25           3           3
   10.75     10.75           3           3
   11.70     11.70           3           3
   11.60     11.60           3           3
   11.90     11.90           3           3
   12.60     12.60           3           3
   11.90     11.90           3           3
   11.10     11.10           3           3
   10.55     10.55           3           3
   10.05     10.05           3           3
    9.35      9.35           3           3
    9.30      9.30           3           3
    9.20      9.20           3           3
    7.50      7.50           3           3
    8.55      8.55           3           3
    8.50      8.50           3           3
    8.05      8.05           3           3
    7.85      7.85           3           3
    7.30      7.30           3           3
    6.80      6.80           3           3
    7.00      7.00           3           3
    7.55      7.55           3           3
    8.55      8.55           3           3
    9.00      9.00           3           3
    8.60      8.60           3           3
    9.40      9.40           3           3
    8.45      8.45           3           3
    8.85      8.85           3           3
    9.65      9.65           3           3
   10.55     10.55           3           3
   11.05     11.05           3           3
   10.55     10.55           3           3
    9.45      9.45           3           3
    9.20      9.20           3           3
    8.35      8.35           3           3
    7.35      7.35           3           3
    7.40      7.40           3           3
    6.60      6.60           3           3
    6.10      6.10           3           3
    5.80      5.80           3           3
    5.65      5.65           3           3
    5.30      5.30           3           3
    6.40      6.40           3           3
    5.40      5.40           3           3
    5.35      5.35           3           3
    4.80      4.80           3           3
    4.20      4.20           3           3
    6.40      6.40           3           3
    6.55      6.55           3           3
    7.40      7.40           3           3
    5.45      5.45           3           3
    4.30      4.30           3           3
    4.00      4.00           3           3
    3.35      3.35           3           3
    4.85      4.85           3           3
    4.30      4.30           3           3
    5.85      5.85           3           3
    5.90      5.90           3           3
    7.55      7.55           3           3
    6.85      6.85           3           3
    7.65      7.65           3           3
    6.95      6.95           3           3
    6.10      6.10           3           3
    5.50      5.50           3           3
    4.70      4.70           3           3
    3.80      3.80           3           3
    4.65      4.65           3           3
    4.15      4.15           3           3
    5.30      5.30           3           3
    5.60      5.60           3           3
