# x-coord    y-coord   Kmeans_labels  Kplus_labels 
   15.55     15.55           5           5
   14.90     14.90           4           4
   14.45     14.45           4           4
   14.15     14.15           4           4
   13.75     13.75           4           4
   13.35     13.35           4           4
   13.00     13.00           4           4
   13.45     13.45           4           4
   13.60     13.60           4           4
   12.80     12.80           4           4
   12.40     12.40           4           4
   12.30     12.30           4           4
   12.20     12.20           4           4
   13.40     13.40           4           4
   12.95     12.95           4           4
   12.90     12.90           4           4
   11.85     11.85           4           4
   11.35     11.35           4           4
   11.15     11.15           4           4
   11.25     11.25           4           4
   10.75     10.75           4           4
   10.50     10.50           4           4
    9.65      9.65           4           4
   10.25     10.25           4           4
   10.75     10.75           4           4
   11.70     11.70           4           4
   11.60     11.60           4           4
   11.90     11.90           4           4
   12.60     12.60           4           4
   11.90     11.90           4           4
   11.10     11.10           4           4
   10.55     10.55           4           4
   10.05     10.05           4           4
    9.35      9.35           4           4
    9.30      9.30           4           4
    9.20      9.20           4           4
    7.50      7.50           4           4
    8.55      8.55           4           4
    8.50      8.50           4           4
    8.05      8.05           4           4
    7.85      7.85           4           4
    7.30      7.30           4           4
    6.80      6.80           4           4
    7.00      7.00           4           4
    7.55      7.55           4           4
    8.55      8.55           4           4
    9.00      9.00           4           4
    8.60      8.60           4           4
    9.40      9.40           4           4
    8.45      8.45           4           4
    8.85      8.85           4           4
    9.65      9.65           4           4
   10.55     10.55           4           4
   11.05     11.05           4           4
   10.55     10.55           4           4
    9.45      9.45           4           4
    9.20      9.20           4           4
    8.35      8.35           4           4
    7.35      7.35           4           4
    7.40      7.40           4           4
    6.60      6.60           4           4
    6.10      6.10           4           4
    5.80      5.80           4           4
    5.65      5.65           4           4
    5.30      5.30           4           4
    6.40      6.40           4           4
    5.40      5.40           4           4
    5.35      5.35           4           4
    4.80      4.80           4           4
    4.20      4.20           4           4
    6.40      6.40           4           4
    6.55      6.55           4           4
    7.40      7.40           4           4
    5.45      5.45           4           4
    4.30      4.30           4           4
    4.00      4.00           4           4
    3.35      3.35           4           4
    4.85      4.85           4           4
    4.30      4.30           4           4
    5.85      5.85           4           4
    5.90      5.90           4           4
    7.55      7.55           4           4
    6.85      6.85           4           4
    7.65      7.65           4           4
    6.95      6.95           4           4
    6.10      6.10           4           4
    5.50      5.50           4           4
    4.70      4.70           4           4
    3.80      3.80           4           4
    4.65      4.65           4           4
    4.15      4.15           4           4
    5.30      5.30           4           4
    5.60      5.60           4           4
    5.80      5.80           4           4
    6.40      6.40           4           4
    6.55      6.55           4           4
    7.45      7.45           4           4
    7.40      7.40           4           4
    7.75      7.75           4           4
    7.65      7.65           4           4
    6.95      6.95           4           4
    6.60      6.60           4           4
    6.05      6.05           4           4
    5.40      5.40           4           4
    5.35      5.35           4           4
    5.80      5.80           4           4
    6.30      6.30           4           4
    7.00      7.00           4           4
    7.15      7.15           4           4
    7.35      7.35           4           4
    8.20      8.20           4           4
    8.30      8.30           4           4
    8.30      8.30           4           4
    8.75      8.75           4           4
    9.05      9.05           4           4
    9.35      9.35           4           4
    8.90      8.90           4           4
    8.45      8.45           4           4
   10.05     10.05           4           4
   10.40     10.40           4           4
    8.60      8.60           4           4
    8.65      8.65           4           4
    8.65      8.65           4           4
    8.65      8.65           4           4
    8.95      8.95           4           4
    9.95      9.95           4           4
    8.95      8.95           4           4
    9.65      9.65           4           4
   10.55     10.55           4           4
   10.90     10.90           4           4
   11.35     11.35           4           4
   12.05     12.05           4           4
   12.30     12.30           4           4
   11.70     11.70           4           4
   11.15     11.15           4           4
   10.85     10.85           4           4
   10.85     10.85           4           4
    9.60      9.60           4           4
    9.85      9.85           4           4
    9.35      9.35           4           4
    9.25      9.25           4           4
    9.95      9.95           4           4
   10.70     10.70           4           4
   11.30     11.30           4           4
   12.35     12.35           4           4
   13.10     13.10           4           4
   12.85     12.85           4           4
   12.00     12.00           4           4
   11.00     11.00           4           4
   10.35     10.35           4           4
    9.90      9.90           4           4
   10.60     10.60           4           4
   11.40     11.40           4           4
   11.40     11.40           4           4
   12.35     12.35           4           4
   12.80     12.80           4           4
   12.15     12.15           4           4
   11.05     11.05           4           4
   11.95     11.95           4           4
   12.25     12.25           4           4
   13.05     13.05           4           4
   13.75     13.75           4           4
   13.50     13.50           4           4
   13.65     13.65           4           4
   14.00     14.00           4           4
   15.20     15.20           4           4
   15.50     15.50           5           5
   13.90     13.90           4           4
   13.75     13.75           4           4
   12.15     12.15           4           4
    7.80      7.80           6           6
    8.85      8.85           6           6
    9.00      9.00           6           6
    9.70      9.70           6           6
    8.05      8.05           6           6
    7.70      7.70           6           6
    6.80      6.80           6           6
    6.60      6.60           6           6
    6.20      6.20           6           6
    5.40      5.40           6           6
    5.70      5.70           6           6
    5.20      5.20           6           6
    5.15      5.15           6           6
    5.85      5.85           6           6
    6.10      6.10           6           6
    7.00      7.00           6           6
    7.05      7.05           6           6
    7.90      7.90           6           6
    8.55      8.55           6           6
    7.85      7.85           6           6
    7.10      7.10           6           6
    6.90      6.90           6           6
    6.85      6.85           6           6
    6.40      6.40           6           6
    5.90      5.90           6           6
    6.40      6.40           6           6
    7.05      7.05           6           6
    7.35      7.35           6           6
    7.65      7.65           6           6
