# x-coord    y-coord   Kmeans_labels  Kplus_labels 
453320.00  453320.00          14          14
520651.00  520651.00          14          14
516664.00  516664.00          14          14
570023.00  570023.00          14          14
524035.00  524035.00          12          12
544957.00  544957.00          12          12
503105.00  503105.00          14          14
515747.00  515747.00          14          14
588509.00  588509.00          14          14
533602.00  533602.00          14          14
488815.00  488815.00          10          10
555436.00  555436.00          14          14
525149.00  525149.00          14          14
527235.00  527235.00          14          14
532163.00  532163.00          12          12
456899.00  456899.00          14          14
458240.00  458240.00          14          14
449835.00  449835.00          14          14
536283.00  536283.00          14          14
490765.00  490765.00          14          14
454105.00  454105.00           1           1
452479.00  452479.00           7           7
530851.00  530851.00          14          14
537285.00  537285.00          12          12
517205.00  517205.00          14          14
523280.00  523280.00          14          14
587302.00  587302.00          14          14
474852.00  474852.00          14          14
524603.00  524603.00          14          14
541442.00  541442.00          14          14
533275.00  533275.00          14          14
561366.00  561366.00          14          14
542921.00  542921.00          14          14
535727.00  535727.00          14          14
505281.00  505281.00          14          14
507854.00  507854.00          12          12
519839.00  519839.00          14          14
543050.00  543050.00          14          14
502642.00  502642.00          14          14
457526.00  457526.00          14          14
454100.00  454100.00          14          14
478919.00  478919.00          14          14
525977.00  525977.00          14          14
530335.00  530335.00          14          14
485899.00  485899.00          14          14
520162.00  520162.00          14          14
579754.00  579754.00          14          14
448929.00  448929.00          14          14
519817.00  519817.00          14          14
590437.00  590437.00          14          14
565852.00  565852.00          10          10
530337.00  530337.00          14          14
591664.00  591664.00          12          12
518660.00  518660.00          14          14
543134.00  543134.00          12          12
549643.00  549643.00          14          14
536765.00  536765.00          13          13
490583.00  490583.00           1           1
462095.00  462095.00          14          14
521037.00  521037.00          14          14
517783.00  517783.00          12          12
504286.00  504286.00          14          14
449791.00  449791.00           1           1
505975.00  505975.00          14          14
565315.00  565315.00          14          14
505993.00  505993.00          14          14
481399.00  481399.00          14          14
528705.00  528705.00          14          14
496874.00  496874.00          14          14
509135.00  509135.00          14          14
551495.00  551495.00          14          14
511112.00  511112.00          14          14
540324.00  540324.00          14          14
518523.00  518523.00          10          10
592334.00  592334.00          14          14
458334.00  458334.00          14          14
563760.00  563760.00          14          14
498993.00  498993.00          12          12
461951.00  461951.00          14          14
542473.00  542473.00          14          14
577696.00  577696.00          14          14
528282.00  528282.00          12          12
505044.00  505044.00          14          14
502254.00  502254.00          14          14
540724.00  540724.00          14          14
527173.00  527173.00          14          14
457823.00  457823.00           7           7
556058.00  556058.00          14          14
504892.00  504892.00          14          14
519323.00  519323.00          14          14
552242.00  552242.00          14          14
519915.00  519915.00          10          10
510063.00  510063.00          14          14
465513.00  465513.00          14          14
548305.00  548305.00          10          10
583329.00  583329.00          14          14
556448.00  556448.00          14          14
533866.00  533866.00          14          14
515476.00  515476.00          14          14
523927.00  523927.00          14          14
537745.00  537745.00          10          10
496614.00  496614.00          14          14
532452.00  532452.00          14          14
536056.00  536056.00          14          14
593310.00  593310.00          14          14
496071.00  496071.00          14          14
534472.00  534472.00          10          10
560890.00  560890.00          14          14
587630.00  587630.00          14          14
465477.00  465477.00          14          14
515948.00  515948.00          14          14
568984.00  568984.00          12          12
503169.00  503169.00          14          14
474033.00  474033.00          14          14
547110.00  547110.00          14          14
468222.00  468222.00          14          14
517396.00  517396.00          14          14
530689.00  530689.00          14          14
559197.00  559197.00          10          10
481295.00  481295.00          14          14
500864.00  500864.00          14          14
530677.00  530677.00          12          12
478788.00  478788.00          14          14
575107.00  575107.00          14          14
556865.00  556865.00          14          14
502377.00  502377.00          12          12
560795.00  560795.00          12          12
498930.00  498930.00          14          14
437919.00  437919.00           8           8
478859.00  478859.00          14          14
481130.00  481130.00          14          14
469019.00  469019.00          14          14
550219.00  550219.00          12          12
548072.00  548072.00          14          14
478541.00  478541.00          14          14
487619.00  487619.00          14          14
458678.00  458678.00          14          14
512861.00  512861.00          14          14
530533.00  530533.00          14          14
517830.00  517830.00          14          14
477762.00  477762.00          14          14
582223.00  582223.00          14          14
483506.00  483506.00          14          14
491250.00  491250.00          14          14
517028.00  517028.00          14          14
518560.00  518560.00          14          14
473296.00  473296.00          14          14
552160.00  552160.00          14          14
507965.00  507965.00          14          14
573714.00  573714.00          14          14
494814.00  494814.00          14          14
482060.00  482060.00          14          14
531755.00  531755.00          14          14
450480.00  450480.00           7           7
480821.00  480821.00          14          14
480805.00  480805.00          14          14
481631.00  481631.00          14          14
545208.00  545208.00          14          14
593872.00  593872.00          10          10
516121.00  516121.00          14          14
494339.00  494339.00          14          14
482361.00  482361.00           1           1
497820.00  497820.00          14          14
490094.00  490094.00          14          14
550220.00  550220.00          14          14
556659.00  556659.00          14          14
517416.00  517416.00          14          14
496847.00  496847.00          14          14
585333.00  585333.00          14          14
592721.00  592721.00          14          14
517003.00  517003.00          14          14
547798.00  547798.00          14          14
561044.00  561044.00          14          14
511079.00  511079.00          14          14
536605.00  536605.00          14          14
531691.00  531691.00          10          10
512216.00  512216.00          14          14
524997.00  524997.00          14          14
585350.00  585350.00          14          14
582923.00  582923.00          14          14
561809.00  561809.00          14          14
511168.00  511168.00          14          14
592334.00  592334.00          14          14
578937.00  578937.00          14          14
486686.00  486686.00          14          14
577901.00  577901.00          14          14
501483.00  501483.00          14          14
457462.00  457462.00          14          14
494877.00  494877.00          14          14
484635.00  484635.00          14          14
538873.00  538873.00          14          14
437948.00  437948.00          14          14
504769.00  504769.00          14          14
553738.00  553738.00          14          14
541181.00  541181.00          14          14
460453.00  460453.00          14          14
517324.00  517324.00          14          14
552856.00  552856.00          14          14
586586.00  586586.00          12          12
517329.00  517329.00          14          14
500534.00  500534.00          14          14
512623.00  512623.00          14          14
517648.00  517648.00          14          14
515810.00  515810.00          14          14
519226.00  519226.00          14          14
565177.00  565177.00          14          14
508852.00  508852.00          14          14
492011.00  492011.00          14          14
513857.00  513857.00          14          14
519814.00  519814.00          14          14
512144.00  512144.00          14          14
513146.00  513146.00          14          14
506292.00  506292.00          14          14
555478.00  555478.00          12          12
532579.00  532579.00          14          14
520899.00  520899.00          14          14
519082.00  519082.00          14          14
435216.00  435216.00           7           7
499835.00  499835.00          14          14
540660.00  540660.00          14          14
547839.00  547839.00          14          14
485177.00  485177.00          14          14
547736.00  547736.00          14          14
480758.00  480758.00          14          14
528189.00  528189.00          14          14
557839.00  557839.00          14          14
591152.00  591152.00          14          14
535677.00  535677.00          14          14
598856.00  598856.00          12          12
498327.00  498327.00          14          14
554325.00  554325.00          12          12
517583.00  517583.00          14          14
599185.00  599185.00          14          14
446572.00  446572.00          14          14
444554.00  444554.00           1           1
447084.00  447084.00          14          14
462160.00  462160.00          14          14
507544.00  507544.00          14          14
515792.00  515792.00          14          14
508481.00  508481.00          14          14
528694.00  528694.00          14          14
585323.00  585323.00          14          14
517409.00  517409.00          14          14
526640.00  526640.00          14          14
442731.00  442731.00           8           8
444584.00  444584.00          14          14
476576.00  476576.00          14          14
504149.00  504149.00          14          14
522913.00  522913.00          14          14
477252.00  477252.00          14          14
541320.00  541320.00          14          14
460604.00  460604.00          14          14
594992.00  594992.00          14          14
582654.00  582654.00          12          12
486484.00  486484.00          14          14
505847.00  505847.00          14          14
526892.00  526892.00          14          14
565549.00  565549.00          14          14
507094.00  507094.00          14          14
528015.00  528015.00          14          14
504735.00  504735.00          14          14
507366.00  507366.00          14          14
583684.00  583684.00          14          14
459535.00  459535.00          14          14
452899.00  452899.00           7           7
489387.00  489387.00          14          14
466098.00  466098.00          14          14
483312.00  483312.00          14          14
600212.00  600212.00          14          14
510372.00  510372.00          14          14
519446.00  519446.00          14          14
571409.00  571409.00          10          10
539966.00  539966.00          14          14
434176.00  434176.00           8           8
540289.00  540289.00          14          14
470414.00  470414.00          14          14
594393.00  594393.00          12          12
557387.00  557387.00          14          14
568244.00  568244.00          14          14
574723.00  574723.00          12          12
544674.00  544674.00          14          14
504556.00  504556.00          14          14
525793.00  525793.00          14          14
553017.00  553017.00          14          14
514492.00  514492.00          14          14
536748.00  536748.00          14          14
499714.00  499714.00          14          14
500254.00  500254.00          14          14
495371.00  495371.00          14          14
495179.00  495179.00          14          14
493357.00  493357.00          14          14
488426.00  488426.00          14          14
578366.00  578366.00          14          14
519877.00  519877.00          14          14
506558.00  506558.00          12          12
526440.00  526440.00          14          14
476782.00  476782.00           1           1
510193.00  510193.00          10          10
505805.00  505805.00          14          14
551949.00  551949.00          14          14
569835.00  569835.00          13          13
487894.00  487894.00          13          13
532938.00  532938.00          13          13
534095.00  534095.00          13          13
480986.00  480986.00          13          13
546787.00  546787.00          13          13
471821.00  471821.00          13          13
548698.00  548698.00          13          13
