# Cost-value  iter_max
21854790823174.48          18
25434617014635.30          21
21619371681854.17          44
21288042968529.58          33
21539803621142.64          22
23278975122702.98          16
21522666930244.96          26
21396245558971.08          34
21471099530438.17          24
19436926903484.78          26
21694367655330.23          42
21805866784465.75          36
19412859985002.14          25
21744236208309.73          59
21351260317558.56          25
23772447955588.32          36
21744551435826.49          24
21588937652038.55          36
23739461969956.66          20
21306523165835.42          17
21229941535226.63          19
23273717332275.01          23
19737908997167.52          26
21581723903046.73          23
21828651263163.49          33
19737908997167.52          25
25387117560361.39          25
21744948251812.56          28
21677785218548.34          24
21760407919913.02          20
21221234656448.70          23
19470974920022.52          16
23966484265297.80          23
21642453234812.78          22
23322137145915.02          23
19740236635811.24          27
19472643474120.64          36
23405997236865.72          29
21179190308574.86          26
21543607647347.53          15
19738416566196.69          32
21262049006655.74          15
23277230265139.62          24
19509273156784.57          19
21293465946699.26          30
19412799816517.34          17
19508937943050.38          18
21746218283022.81          21
19412828988461.54          33
19740290029328.50          15
19737705929393.73          55
19412791678914.68          14
19738029308530.63          21
21179207484355.41          23
21155606853712.79          59
25475492587412.69          37
19737562385728.23          30
19738967412283.19          18
19412659783057.76          23
21677597311701.74          31
21635430369745.53          27
19737904597129.92          17
19737908997167.52          25
21513097186881.09          29
19740287026077.12          19
21194620923790.34          19
21301050123168.35          21
19738416566196.69          26
21589047136581.22          38
21745997427534.50          72
21547105254877.80          33
21519868160792.21          54
21727512975741.70          24
23409535034294.46          32
19737677443816.75          27
21293457437793.96          23
19737914943643.42          18
23978228189341.73          20
19509222469178.18          24
21287503998755.73          33
23335604240697.23          27
19472522037081.57          13
21872408285015.47          30
19211037721170.25          28
21650220981526.09          29
19412856659862.68          16
21263340488727.02          28
19430660437587.90          39
21503117018689.16          31
21744485059079.79          21
23769770196776.57          16
21750328499899.41          14
19737562385728.23          25
21728443778929.50          36
21541389062484.70          16
23319892438087.66          54
21417517524340.18          29
19507631425042.50          18
21577667849080.70          26
23272015722221.80          40
