# Cost-value  iter_max
6062024741001.87         100
5977145345095.37         100
5939093534184.55         100
5990149793206.88         100
5907271921815.96         100
5883466060180.35         100
5939111618685.60         100
5906768013344.80         100
5926749009048.68         100
6036901492896.08         100
5939095639614.23         100
6053680479784.43         100
5889415698997.68         100
5926375795021.96         100
5894000302054.50         100
5965214102622.70         100
5884077063226.02         100
5996801039468.78         100
5970719939046.51         100
5972275079087.76         100
5961091523829.52         100
5938747343901.13         100
5939711819043.71         100
5966378456177.30         100
5972213301675.62         100
5889493303830.54         100
5967711232913.58         100
5913567051842.64         100
5891697603443.85         100
6014715980083.19         100
5981616690102.73         100
5881324295006.74         100
5885909200355.17         100
5885909140363.47         100
5893818448791.80         100
5898143119664.68         100
6016874824949.12         100
5923465772649.17         100
5883513175146.96         100
5884076877899.74         100
5957733827364.11         100
5965003969646.70         100
5884582072162.91         100
5949617175581.64         100
5897728467930.76         100
5889817673315.26         100
5951149982790.17         100
5977335953860.84         100
5979770541040.46         100
5884100638388.88         100
5884078950346.16         100
5886749531856.75         100
5940318311212.95         100
5914104493337.02         100
5973458027677.10         100
5927954489311.24         100
5884075600808.50         100
5884075091767.82         100
5887816563670.23         100
5864162428149.29         100
5906159548386.88         100
5967975811754.14         100
5888160882440.93         100
5958355305141.66         100
5917098319687.53         100
5884083779239.04         100
5893984709623.75         100
5887413839959.61         100
5936671626504.36         100
5972285556048.00         100
5947539825642.01         100
5974346607924.89         100
5885924820023.66         100
5909758895271.06         100
5935577567880.22         100
5884885831689.97         100
5972458275024.94         100
5976884792392.72         100
5900662608679.51         100
5937112609771.45         100
5913067013641.80         100
5893757462576.58         100
5884076107744.59         100
5885273604357.96         100
5940197052468.91         100
5942089997234.66         100
5963294733688.88         100
5906435496110.15         100
6030247932155.85         100
5936923445742.42         100
5905731717942.92         100
5965192259856.97         100
5885042249174.50         100
5885211595300.42         100
5925074553944.54         100
5962459022660.84         100
5898946592935.92         100
5903811525914.48         100
5926342958380.80         100
5888933993173.43         100
