# x-coord    y-coord  labels
   15.55     28.65           4
   14.90     27.55           3
   14.45     28.35           3
   14.15     28.80           3
   13.75     28.05           3
   13.35     28.45           3
   13.00     29.15           3
   13.45     27.50           3
   13.60     26.50           3
   12.80     27.35           3
   12.40     27.85           3
   12.30     28.40           3
   12.20     28.65           3
   13.40     25.10           3
   12.95     25.95           3
   12.90     26.50           3
   11.85     27.00           3
   11.35     28.00           3
   11.15     28.70           3
   11.25     27.40           3
   10.75     27.70           3
   10.50     28.35           3
    9.65     28.45           3
   10.25     27.25           3
   10.75     26.55           3
   11.70     26.35           3
   11.60     25.90           3
   11.90     25.05           3
   12.60     24.05           3
   11.90     24.50           3
   11.10     25.20           3
   10.55     25.15           3
   10.05     25.95           3
    9.35     26.60           3
    9.30     27.25           3
    9.20     27.80           3
    7.50     28.25           3
    8.55     27.45           3
    8.50     27.05           3
    8.05     27.20           3
    7.85     26.80           3
    7.30     27.40           3
    6.80     26.85           3
    7.00     26.50           3
    7.55     26.30           3
    8.55     26.30           3
    9.00     25.85           3
    8.60     25.65           3
    9.40     25.55           3
    8.45     25.05           3
    8.85     24.60           3
    9.65     24.70           3
   10.55     24.35           3
   11.05     23.90           3
   10.55     23.55           3
    9.45     23.35           3
    9.20     23.90           3
    8.35     23.90           3
    7.35     24.75           3
    7.40     25.45           3
    6.60     25.75           3
    6.10     26.00           3
    5.80     26.95           3
    5.65     25.80           3
    5.30     26.10           3
    6.40     25.40           3
    5.40     25.25           3
    5.35     24.70           3
    4.80     25.05           3
    4.20     25.55           3
    6.40     24.80           3
    6.55     24.30           3
    7.40     24.25           3
    5.45     24.20           3
    4.30     24.00           3
    4.00     24.25           3
    3.35     23.30           3
    4.85     23.05           3
    4.30     22.75           3
    5.85     23.40           3
    5.90     23.55           3
    7.55     23.70           3
    6.85     23.25           3
    7.65     23.10           3
    6.95     22.55           3
    6.10     22.60           3
    5.50     22.60           3
    4.70     22.10           3
    3.80     21.85           3
    4.65     21.20           3
    4.15     20.35           3
    5.30     20.40           3
    5.60     20.75           3
    5.80     21.95           3
    6.40     21.95           3
    6.55     21.15           3
    7.45     21.95           3
    7.40     21.55           3
    7.75     21.20           3
    7.65     20.65           3
    6.95     19.80           3
    6.60     20.10           3
    6.05     20.20           3
    5.40     19.65           3
    5.35     19.05           3
    5.80     18.25           3
    6.30     19.10           3
    7.00     18.90           3
    7.15     17.90           7
    7.35     18.20           3
    8.20     20.05           3
    8.30     19.45           3
    8.30     18.50           3
    8.75     18.80           3
    9.05     18.20           3
    9.35     17.70           7
    8.90     17.65           7
    8.45     17.20           7
   10.05     17.20           7
   10.40     16.75           7
    8.60     20.90           3
    8.65     21.30           3
    8.65     21.90           3
    8.65     22.50           3
    8.95     22.80           3
    9.95     22.65           3
    8.95     22.20           3
    9.65     21.90           3
   10.55     22.30           3
   10.90     22.85           3
   11.35     23.45           3
   12.05     23.40           3
   12.30     22.75           3
   11.70     22.15           3
   11.15     22.05           3
   10.85     21.50           3
   10.85     21.05           3
    9.60     21.30           3
