# x-coord    y-coord  labels
453320.00  606542.00          10
520651.00  594591.00          10
516664.00  660290.00          10
570023.00  570741.00          10
524035.00  518443.00          10
544957.00  505968.00           4
503105.00  577815.00          10
515747.00  601704.00          10
588509.00  666153.00          10
533602.00  584471.00          10
488815.00  736618.00           2
555436.00  648459.00          10
525149.00  598859.00          10
527235.00  597804.00          10
532163.00  487880.00           4
456899.00  535857.00          10
458240.00  649408.00          10
449835.00  681607.00          10
536283.00  664397.00          10
490765.00  641584.00          10
454105.00  462204.00          11
452479.00  733351.00           3
530851.00  640929.00          10
537285.00  484173.00           4
517205.00  604160.00          10
523280.00  604275.00          10
587302.00  609986.00          10
474852.00  625772.00          10
524603.00  621588.00          10
541442.00  643798.00          10
533275.00  597808.00          10
561366.00  639125.00          10
542921.00  577831.00          10
535727.00  568446.00          10
505281.00  579015.00          10
507854.00  513056.00          10
519839.00  594718.00          10
543050.00  594144.00          10
502642.00  615006.00          10
457526.00  658653.00          10
454100.00  637822.00          10
478919.00  531404.00          10
525977.00  595552.00          10
530335.00  593501.00          10
485899.00  618292.00          10
520162.00  606713.00          10
579754.00  607506.00          10
448929.00  699090.00          10
519817.00  600528.00          10
590437.00  652317.00          10
565852.00  731472.00           2
530337.00  609544.00          10
591664.00  441477.00           4
518660.00  603100.00          10
543134.00  515387.00           4
549643.00  615815.00          10
536765.00  368279.00          15
490583.00  447151.00          11
462095.00  603185.00          10
521037.00  625633.00          10
517783.00  448891.00           4
504286.00  586215.00          10
449791.00  508708.00          11
505975.00  574621.00          10
565315.00  570709.00          10
505993.00  602027.00          10
481399.00  639977.00          10
528705.00  615540.00          10
496874.00  608333.00          10
509135.00  610403.00          10
551495.00  534129.00          10
511112.00  609032.00          10
540324.00  654879.00          10
518523.00  731755.00           2
592334.00  554231.00          10
458334.00  717159.00           3
563760.00  556793.00          10
498993.00  477685.00           4
461951.00  676819.00          10
542473.00  619633.00          10
577696.00  558890.00          10
528282.00  454400.00           4
505044.00  648336.00          10
502254.00  599976.00          10
540724.00  612400.00          10
527173.00  638401.00          10
457823.00  732911.00           3
556058.00  641043.00          10
504892.00  636062.00          10
519323.00  604971.00          10
552242.00  597762.00          10
519915.00  756868.00           2
510063.00  608495.00          10
465513.00  529132.00          10
548305.00  789860.00           2
583329.00  579176.00          10
556448.00  580076.00          10
533866.00  630754.00          10
515476.00  610111.00          10
523927.00  561491.00          10
537745.00  730727.00           2
496614.00  634895.00          10
532452.00  620413.00          10
536056.00  592316.00          10
593310.00  602181.00          10
496071.00  641507.00          10
534472.00  723007.00           2
560890.00  671380.00          10
587630.00  603523.00          10
465477.00  577209.00          10
515948.00  599567.00          10
568984.00  508467.00           4
503169.00  584319.00          10
474033.00  604815.00          10
547110.00  635152.00          10
468222.00  558458.00          10
517396.00  599675.00          10
530689.00  605173.00          10
559197.00  707148.00           2
481295.00  606981.00          10
500864.00  602869.00          10
530677.00  448636.00           4
478788.00  536546.00          10
575107.00  605490.00          10
556865.00  576259.00          10
502377.00  463742.00           4
560795.00  506703.00           4
498930.00  606521.00          10
437919.00  529813.00          14
478859.00  605506.00          10
481130.00  571932.00          10
469019.00  650175.00          10
550219.00  511903.00           4
548072.00  645976.00          10
478541.00  641601.00          10
487619.00  577759.00          10
458678.00  582469.00          10
512861.00  595314.00          10
530533.00  617715.00          10
517830.00  602128.00          10
477762.00  560260.00          10
582223.00  588889.00          10
483506.00  616626.00          10
491250.00  551419.00          10
517028.00  595332.00          10
518560.00  536665.00          10
473296.00  675462.00          10
552160.00  585490.00          10
507965.00  693786.00          10
573714.00  564928.00          10
494814.00  606104.00          10
482060.00  583648.00          10
531755.00  589697.00          10
450480.00  714996.00           3
480821.00  565116.00          10
480805.00  685935.00          10
481631.00  636177.00          10
545208.00  637065.00          10
593872.00  697763.00           2
516121.00  602007.00          10
494339.00  615498.00          10
482361.00  482641.00          11
497820.00  561443.00          10
490094.00  534384.00          10
550220.00  574397.00          10
556659.00  640497.00          10
517416.00  602429.00          10
496847.00  583462.00          10
585333.00  595857.00          10
592721.00  557481.00          10
517003.00  601763.00          10
547798.00  572399.00          10
561044.00  620960.00          10
511079.00  619668.00          10
536605.00  619651.00          10
531691.00  790138.00           2
512216.00  623166.00          10
524997.00  600241.00          10
585350.00  632346.00          10
582923.00  674777.00           2
561809.00  588448.00          10
511168.00  600267.00          10
592334.00  549213.00          10
578937.00  619828.00          10
486686.00  601992.00          10
577901.00  591721.00          10
501483.00  581157.00          10
457462.00  707351.00          10
494877.00  598042.00          10
484635.00  641845.00          10
538873.00  607201.00          10
437948.00  675857.00          10
504769.00  602742.00          10
553738.00  625842.00          10
541181.00  592835.00          10
460453.00  663248.00          10
517324.00  651171.00          10
552856.00  632819.00          10
586586.00  524767.00           4
517329.00  597341.00          10
500534.00  594406.00          10
512623.00  615916.00          10
517648.00  602787.00          10
515810.00  608979.00          10
519226.00  603757.00          10
565177.00  572012.00          10
508852.00  610907.00          10
492011.00  553423.00          10
513857.00  606505.00          10
519814.00  612122.00          10
512144.00  604265.00          10
513146.00  611088.00          10
506292.00  614969.00          10
555478.00  508284.00           4
532579.00  545085.00          10
520899.00  598617.00          10
519082.00  604451.00          10
435216.00  703332.00           3
499835.00  663371.00          10
540660.00  578421.00          10
547839.00  649983.00          10
485177.00  553455.00          10
547736.00  556647.00          10
480758.00  579260.00          10
528189.00  620014.00          10
557839.00  653593.00          10
591152.00  597702.00          10
535677.00  646666.00          10
598856.00  484319.00           4
498327.00  603896.00          10
554325.00  470556.00           4
517583.00  614670.00          10
599185.00  632598.00          10
446572.00  545016.00          10
444554.00  498933.00          11
447084.00  676215.00          10
462160.00  604958.00          10
507544.00  717283.00           2
515792.00  603615.00          10
508481.00  650682.00          10
528694.00  605396.00          10
585323.00  564746.00          10
517409.00  602486.00          10
526640.00  594029.00          10
442731.00  524364.00          14
444584.00  682681.00          10
476576.00  702356.00          10
504149.00  613547.00          10
522913.00  612522.00          10
477252.00  511717.00          10
541320.00  577397.00          10
460604.00  612713.00          10
594992.00  626543.00          10
582654.00  498670.00           4
486484.00  555434.00          10
505847.00  653823.00          10
526892.00  669378.00          10
565549.00  552212.00          10
507094.00  670237.00          10
528015.00  580450.00          10
504735.00  542865.00          10
507366.00  592328.00          10
583684.00  553423.00          10
459535.00  573533.00          10
452899.00  715648.00           3
489387.00  555203.00          10
466098.00  646429.00          10
483312.00  686975.00          10
600212.00  542358.00          10
510372.00  611826.00          10
519446.00  652215.00          10
571409.00  711766.00           2
539966.00  564654.00          10
434176.00  620870.00          14
540289.00  560590.00          10
470414.00  585508.00          10
594393.00  507547.00           4
557387.00  620417.00          10
568244.00  571007.00          10
574723.00  481052.00           4
544674.00  607976.00          10
504556.00  596936.00          10
525793.00  649834.00          10
553017.00  553882.00          10
514492.00  603118.00          10
536748.00  638795.00          10
499714.00  573684.00          10
500254.00  579149.00          10
495371.00  524303.00          10
495179.00  555424.00          10
493357.00  576660.00          10
488426.00  568942.00          10
578366.00  600188.00          10
519877.00  635541.00          10
506558.00  484898.00           4
526440.00  600980.00          10
476782.00  475969.00          11
510193.00  740093.00           2
505805.00  540908.00          10
551949.00  652317.00          10
569835.00  305861.00          15
487894.00  309894.00          15
532938.00  306366.00          15
534095.00  328194.00          15
480986.00  258160.00          15
546787.00  303532.00          15
471821.00  268222.00          15
548698.00  334366.00          15
449705.00  398827.00          11
596991.00  214371.00           8
504859.00  246634.00          15
492801.00  255666.00          15
443927.00  294656.00           9
500134.00  265648.00          15
607108.00  471788.00           4
533390.00  402288.00           4
594744.00  368036.00          15
591819.00  302411.00          15
564182.00  292950.00          15
532772.00  295614.00          15
549553.00  326391.00          15
529110.00  294532.00          15
499490.00  301809.00          15
676195.00  228277.00           8
501995.00  330279.00          15
505519.00  287497.00          15
490706.00  329784.00          15
527268.00  332373.00          15
495066.00  364706.00          11
608558.00  305176.00          15
533394.00  295829.00          15
532084.00  311638.00          15
447666.00  300851.00          15
531727.00  296001.00          15
486932.00  387999.00          11
559918.00  291073.00          15
526093.00  315223.00          15
529462.00  306183.00          15
539431.00  339933.00          15
586115.00  270570.00          15
561109.00  308739.00          15
539696.00  297239.00          15
548610.00  181604.00           8
447711.00  328043.00          11
525539.00  188788.00          15
649353.00  297146.00           8
493179.00  348266.00          15
448285.00  383411.00          11
538627.00  245982.00          15
577626.00  300093.00          15
599136.00  285098.00          15
580588.00  470941.00           4
589063.00  292592.00          15
535169.00  347166.00          15
442259.00  351081.00          11
552676.00  353201.00          15
557135.00  307282.00          15
547156.00  278823.00          15
648989.00  319239.00           8
538545.00  105608.00           8
536255.00  382070.00           4
538795.00  308472.00          15
688776.00  298590.00           8
604897.00  299886.00          15
596667.00  288877.00          15
537465.00  294198.00          15
484331.00  299124.00          15
565461.00  223156.00          15
490282.00  326267.00          15
616559.00  338123.00          15
540171.00  306910.00          15
537262.00  225820.00          15
